"Subject","Block","Condition","Item","Acc","RT","Target","cloze","age","frequency"
102,55,"Sem","D087",1,1168,"SITUE",23,22,4.86
102,59,"Orth","D060",1,663,"SAUVE",23,22,10.41
102,62,"ID","D111",1,682,"FUME",23,22,15.2
102,63,"Morph","D030",1,944,"SOIGNE",23,22,4.66
102,64,"Sem","D086",1,831,"REFUSE",23,22,24.19
102,65,"Orth","D066",1,732,"ASSURE",23,22,27.09
102,67,"Morph","D032",1,613,"IMPOSE",23,22,12.77
102,69,"Morph","D031",1,674,"DÉCIDE",23,22,20.61
102,70,"Morph","D029",1,712,"ACCUSE",23,22,6.01
102,71,"Sem","D073",1,547,"ADORE",23,22,16.76
102,74,"Morph","D028",1,598,"POUSSE",23,22,41.82
102,75,"Sem","D083",1,607,"HABITE",23,22,22.5
102,76,"Orth","D063",1,1107,"BRASE",23,22,0.001
102,78,"Orth","D072",1,568,"COMMENCE",23,22,82.5
102,80,"ID","D142",1,709,"EXPLIQUE",23,22,38.24
102,81,"Orth","D058",1,663,"PLACE",23,22,15.14
102,89,"Orth","D055",0,915,"PANSE",23,22,0.47
102,93,"Sem","D090",1,1054,"TREMBLE",23,22,14.59
102,97,"ID","D110",1,930,"RATE",23,22,2.91
102,98,"Orth","D047",1,945,"BRÛLE",23,22,17.77
102,99,"Orth","D042",1,560,"BASE",23,22,0.27
102,100,"Morph","D023",1,556,"CHASSE",23,22,3.83
102,104,"ID","D114",1,980,"MÊLE",23,22,11.01
102,107,"ID","D126",1,538,"PARLE",23,22,168.78
102,108,"Sem","D089",1,557,"TOURNE",23,22,60.81
102,109,"Orth","D040",1,728,"GARE",23,22,2.77
102,111,"Sem","D096",1,670,"EMPÊCHE",23,22,41.15
102,114,"ID","D109",1,560,"TIRE",23,22,55.14
102,116,"Sem","D084",1,921,"LANCE",23,22,19.19
102,117,"Orth","D065",0,999,"ARROGE",23,22,0.14
102,121,"Morph","D015",1,930,"MOQUE",23,22,11.82
102,123,"Morph","D010",1,664,"CASSE",23,22,17.03
102,125,"ID","D129",1,829,"MANIE",23,22,1.55
102,128,"Orth","D059",1,665,"ROULE",23,22,24.3
102,130,"ID","D135",1,681,"RÉPÈTE",23,22,37.3
102,140,"Orth","D064",1,743,"ARRIVE",23,22,164.12
102,141,"Morph","D017",1,818,"SERRE",23,22,27.36
102,142,"ID","D144",1,539,"MOULE",23,22,0.68
102,143,"Sem","D092",1,838,"CACHE",23,22,20.07
102,145,"ID","D131",1,689,"BOUCLE",23,22,3.51
102,146,"ID","D117",1,620,"NAGE",23,22,2.36
102,154,"Orth","D044",1,721,"VOLE",23,22,10.1
102,156,"Orth","D056",1,1112,"PARIE",23,22,5.58
102,158,"Orth","D062",1,777,"SOUDE",23,22,0.27
102,159,"ID","D136",1,848,"PULSE",23,22,0.2
102,162,"Sem","D108",0,913,"VEXE",23,22,1.76
102,163,"Morph","D021",1,612,"BLESSE",23,22,3.11
102,164,"ID","D124",1,520,"ABUSE",23,22,1.62
102,166,"Orth","D067",1,742,"CHANGE",23,22,18.45
102,167,"Sem","D095",1,1441,"DORE",23,22,1.15
102,170,"ID","D116",1,635,"RÊVE",23,22,21.62
102,172,"ID","D133",1,826,"INVITE",23,22,11.01
102,173,"Sem","D074",1,1058,"AVALE",23,22,9.26
102,175,"Morph","D016",1,625,"PENSE",23,22,178.04
102,176,"ID","D139",1,638,"BORDE",23,22,2.03
102,179,"Sem","D101",1,568,"PORTE",23,22,79.05
102,181,"ID","D127",1,603,"ÉTALE",23,22,10.41
102,182,"Sem","D077",1,752,"NOUE",23,22,1.62
102,185,"Morph","D026",1,542,"MONTRE",23,22,38.99
102,186,"Sem","D097",1,608,"ESPÈRE",23,22,43.85
102,187,"Morph","D009",1,997,"BRISE",23,22,6.08
102,192,"ID","D121",1,756,"DANSE",23,22,9.8
102,194,"ID","D141",1,794,"RAMASSE",23,22,10.68
102,197,"Sem","D075",1,924,"FORME",23,22,11.89
102,199,"Sem","D100",1,1103,"PASSE",23,22,185.61
102,201,"Sem","D106",1,649,"AIDE",23,22,18.38
102,202,"ID","D113",1,594,"VIDE",23,22,9.32
102,204,"Morph","D020",1,785,"AJOUTE",23,22,29.19
